fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
ID__WUIP__p_a,ID,WUI-P,p_a,area_proportion,44,0,0.050000000000,0.001136363636,7,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
ID__WUIP__p_s,ID,WUI-P,p_s,structure_proportion,44,0,0.050000000000,0.001136363636,2,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
ID__WUIS__p_a,ID,WUI-S,p_a,area_proportion,44,0,0.050000000000,0.003409090909,9,3,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
ID__WUIS__p_s,ID,WUI-S,p_s,structure_proportion,44,0,0.050000000000,0.001136363636,2,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
ID__WUIZ__p_a,ID,WUI-Z,p_a,area_proportion,44,0,0.050000000000,0.001136363636,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IL__WUIP__p_a,IL,WUI-P,p_a,area_proportion,102,0,0.050000000000,0.000490196078,5,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IL__WUIP__p_s,IL,WUI-P,p_s,structure_proportion,83,0,0.050000000000,0.000602409639,5,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IL__WUIS__p_a,IL,WUI-S,p_a,area_proportion,102,0,0.050000000000,0.004411764706,16,9,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
IL__WUIS__p_s,IL,WUI-S,p_s,structure_proportion,102,0,0.050000000000,0.000490196078,17,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
IL__WUIZ__p_a,IL,WUI-Z,p_a,area_proportion,102,0,0.050000000000,0.003431372549,12,7,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IN__WUIP__p_a,IN,WUI-P,p_a,area_proportion,92,0,0.050000000000,0.009239130435,38,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IN__WUIP__p_s,IN,WUI-P,p_s,structure_proportion,92,0,0.050000000000,0.009239130435,35,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
IN__WUIS__p_a,IN,WUI-S,p_a,area_proportion,92,0,0.050000000000,0.009239130435,39,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
IN__WUIS__p_s,IN,WUI-S,p_s,structure_proportion,92,0,0.050000000000,0.009239130435,36,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
