fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
VA__WUIP__p_s,VA,WUI-P,p_s,structure_proportion,133,0,0.050000000000,0.000375939850,20,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
VA__WUIS__p_a,VA,WUI-S,p_a,area_proportion,133,0,0.050000000000,0.000375939850,14,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
VA__WUIS__p_s,VA,WUI-S,p_s,structure_proportion,133,0,0.050000000000,0.000375939850,23,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
VA__WUIZ__p_a,VA,WUI-Z,p_a,area_proportion,133,0,0.050000000000,0.000375939850,17,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WA__WUIP__p_a,WA,WUI-P,p_a,area_proportion,39,0,0.050000000000,0.001282051282,9,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WA__WUIP__p_s,WA,WUI-P,p_s,structure_proportion,39,0,0.050000000000,0.001282051282,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WA__WUIS__p_a,WA,WUI-S,p_a,area_proportion,39,0,0.050000000000,0.003846153846,9,3,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WA__WUIS__p_s,WA,WUI-S,p_s,structure_proportion,39,0,0.050000000000,0.001282051282,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WA__WUIZ__p_a,WA,WUI-Z,p_a,area_proportion,39,0,0.050000000000,0.005128205128,11,4,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WI__WUIP__p_a,WI,WUI-P,p_a,area_proportion,72,0,0.050000000000,0.000694444444,23,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WI__WUIP__p_s,WI,WUI-P,p_s,structure_proportion,72,0,0.050000000000,0.015972222222,27,23,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WI__WUIS__p_a,WI,WUI-S,p_a,area_proportion,72,0,0.050000000000,0.000694444444,20,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WI__WUIS__p_s,WI,WUI-S,p_s,structure_proportion,72,0,0.050000000000,0.015972222222,28,23,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WI__WUIZ__p_a,WI,WUI-Z,p_a,area_proportion,72,0,0.050000000000,0.000694444444,9,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WV__WUIP__p_a,WV,WUI-P,p_a,area_proportion,55,0,0.050000000000,0.000909090909,7,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WV__WUIP__p_s,WV,WUI-P,p_s,structure_proportion,55,0,0.050000000000,0.000909090909,5,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
WV__WUIS__p_a,WV,WUI-S,p_a,area_proportion,55,0,0.050000000000,0.000909090909,10,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WV__WUIS__p_s,WV,WUI-S,p_s,structure_proportion,55,0,0.050000000000,0.000909090909,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
WV__WUIZ__p_a,WV,WUI-Z,p_a,area_proportion,55,0,0.050000000000,0.000909090909,11,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
