method,nonwui_population,intermix_population,interface_population,wui_population,total_population,wui_population_share_pct
WUI-P,239597135.647304564714,26544432.775568116456,63119050.577127330005,89663483.352695435286,329260619.000000000000,27.231766624570
WUI-S,234467090.219575256109,28207240.396561902016,66586288.383862838149,94793528.780424743891,329260619.000000000000,28.789816731902
WUI-Z,231993694.000000000000,28710257.000000000000,68556668.000000000000,97266925.000000000000,329260619.000000000000,29.541013831356
