analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
five_state_radius_sensitivity,CO,800,WUI-S/WUI-Z,299560551.000000000000,25247422,0.368967453390,
five_state_radius_sensitivity,CO,900,WUI-P/WUI-S,299560551.000000000000,29295921,0.639572997210,
five_state_radius_sensitivity,CO,900,WUI-P/WUI-Z,299560551.000000000000,27156755,0.345743959468,
five_state_radius_sensitivity,CO,900,WUI-S/WUI-Z,299560551.000000000000,25180571,0.373485930879,
five_state_radius_sensitivity,CO,1000,WUI-P/WUI-S,299560551.000000000000,28742226,0.650052191504,
five_state_radius_sensitivity,CO,1000,WUI-P/WUI-Z,299560551.000000000000,26984365,0.349461660484,
five_state_radius_sensitivity,CO,1000,WUI-S/WUI-Z,299560551.000000000000,24673148,0.382482891928,
five_state_radius_sensitivity,FL,100,WUI-P/WUI-S,205482681.000000000000,25972638,0.467669745368,
five_state_radius_sensitivity,FL,100,WUI-P/WUI-Z,205482681.000000000000,39822789,0.360363132778,
five_state_radius_sensitivity,FL,100,WUI-S/WUI-Z,205482681.000000000000,32858752,0.305750960962,
five_state_radius_sensitivity,FL,200,WUI-P/WUI-S,205482681.000000000000,46880685,0.514444573495,
five_state_radius_sensitivity,FL,200,WUI-P/WUI-Z,205482681.000000000000,54355302,0.380095984013,
five_state_radius_sensitivity,FL,200,WUI-S/WUI-Z,205482681.000000000000,38667155,0.420901304996,
five_state_radius_sensitivity,FL,300,WUI-P/WUI-S,205482681.000000000000,43838836,0.611808762441,
five_state_radius_sensitivity,FL,300,WUI-P/WUI-Z,205482681.000000000000,51132494,0.411731764932,
five_state_radius_sensitivity,FL,300,WUI-S/WUI-Z,205482681.000000000000,39768533,0.444207157453,
five_state_radius_sensitivity,FL,400,WUI-P/WUI-S,205482681.000000000000,41198039,0.645425623292,
five_state_radius_sensitivity,FL,400,WUI-P/WUI-Z,205482681.000000000000,48726334,0.432605806133,
five_state_radius_sensitivity,FL,400,WUI-S/WUI-Z,205482681.000000000000,39025658,0.459097140656,
five_state_radius_sensitivity,FL,500,WUI-P/WUI-S,205482681.000000000000,46536171,0.667696059480,
five_state_radius_sensitivity,FL,500,WUI-P/WUI-Z,205482681.000000000000,52860194,0.422849866953,
five_state_radius_sensitivity,FL,500,WUI-S/WUI-Z,205482681.000000000000,41674802,0.472247306658,
five_state_radius_sensitivity,FL,600,WUI-P/WUI-S,205482681.000000000000,47781129,0.674486239118,
five_state_radius_sensitivity,FL,600,WUI-P/WUI-Z,205482681.000000000000,53838389,0.422319471706,
five_state_radius_sensitivity,FL,600,WUI-S/WUI-Z,205482681.000000000000,42179146,0.479238105010,
five_state_radius_sensitivity,FL,700,WUI-P/WUI-S,205482681.000000000000,48040980,0.673011811999,
five_state_radius_sensitivity,FL,700,WUI-P/WUI-Z,205482681.000000000000,54027141,0.424534365052,
five_state_radius_sensitivity,FL,700,WUI-S/WUI-Z,205482681.000000000000,41965307,0.486207499924,
