method,nonwui_area_km2,intermix_area_km2,interface_area_km2,wui_area_km2,valid_area_km2
WUI-P,7067974.963499999605,757648.075500000035,270903.190500000026,1028551.265999999945,8096526.229500000365
WUI-S,6984191.786399999633,785066.821200000006,327267.621900000027,1112334.443100000033,8096526.229500000365
WUI-Z,7335396.517500000075,554521.249799999991,206608.462200000009,761129.712000000058,8096526.229500000365
