analysis_scope,state,method,buffer_m,variable,frozen_weight_method,frozen_weight_variable,n_units,n_islands,mean,std,alpha,weights_sha256,weight_transformation,permutations,random_seed,run,eligibility_status,moran_i,expected_i,variance_norm,z_norm,p_norm,significant_p_norm,direction,status
county_within_state_patch75_500m,CA,WUI-P,500,p_s,WUI-P,structure_proportion,58,0,0.547067100607,0.321086119668,0.050000000000,3125eee1efdeed67dbd25544efb39fbefa20f98cba387834d67348e84a9f645c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.157661155298,-0.017543859649,0.006704220806,2.139796033721,0.032371253899,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CA,WUI-S,500,p_a,WUI-S,area_proportion,58,0,0.135840641849,0.107345802166,0.050000000000,3125eee1efdeed67dbd25544efb39fbefa20f98cba387834d67348e84a9f645c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.217116250464,-0.017543859649,0.006704220806,2.865926943042,0.004157901878,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CA,WUI-S,500,p_s,WUI-S,structure_proportion,58,0,0.583534615272,0.336923983171,0.050000000000,3125eee1efdeed67dbd25544efb39fbefa20f98cba387834d67348e84a9f645c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.226618737136,-0.017543859649,0.006704220806,2.981981744888,0.002863890752,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CA,WUI-Z,500,p_a,WUI-P,area_proportion,58,0,0.100092005033,0.094492629525,0.050000000000,3125eee1efdeed67dbd25544efb39fbefa20f98cba387834d67348e84a9f645c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.218741567440,-0.017543859649,0.006704220806,2.885777098705,0.003904485800,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CO,WUI-P,500,p_a,WUI-P,area_proportion,64,0,0.104273874207,0.117411975757,0.050000000000,24d8522d3f0a65de1ebd45ff426f29fce84800b68c46c984a4bb0d741be2215c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.491359470071,-0.015873015873,0.005976317325,6.561305143701,0.000000000053,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CO,WUI-P,500,p_s,WUI-P,structure_proportion,58,0,0.647233911567,0.328387777035,0.050000000000,1113739de390527829fe2a9c730e159d81c56f7bcdc62b466cedab449e00785d,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.412755392542,-0.017543859649,0.007311391432,5.032346928517,0.000000484511,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CO,WUI-S,500,p_a,WUI-S,area_proportion,64,0,0.101904305467,0.090418788503,0.050000000000,24d8522d3f0a65de1ebd45ff426f29fce84800b68c46c984a4bb0d741be2215c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.501474913956,-0.015873015873,0.005976317325,6.692153454547,0.000000000022,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CO,WUI-S,500,p_s,WUI-S,structure_proportion,64,0,0.713096801326,0.255164069891,0.050000000000,24d8522d3f0a65de1ebd45ff426f29fce84800b68c46c984a4bb0d741be2215c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.523070490587,-0.015873015873,0.005976317325,6.971503007181,0.000000000003,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CO,WUI-Z,500,p_a,WUI-P,area_proportion,64,0,0.055780370545,0.076858878422,0.050000000000,24d8522d3f0a65de1ebd45ff426f29fce84800b68c46c984a4bb0d741be2215c,r,0,,run1,ELIGIBLE_FORMAL_N_GE_30,0.521784795776,-0.015873015873,0.005976317325,6.954871903684,0.000000000004,True,POSITIVE_SIGNIFICANT,FORMAL_COMPLETE
county_within_state_patch75_500m,CT,WUI-P,500,p_a,WUI-P,area_proportion,9,0,0.582260550954,0.153083058549,0.050000000000,2e4cecfa506532034c13b32b21cd5d01ec13a161a9f017fe663512cfd6dd9230,r,0,,run1,EXCLUDED_N_LT_30,,,,,,,UNDEFINED,EXCLUDED_N_LT_30
