analysis_panel,state,method,buffer_m,Total_struct,Intermix_struct,Interface_struct,WUI_struct
five_state_radius_sensitivity,FL,WUI-S,400,7260257.000000000000,382520.000000000000,1708364.000000000000,2090884.000000000000
five_state_radius_sensitivity,FL,WUI-S,500,7260257.000000000000,420434.000000000000,1672061.000000000000,2092495.000000000000
five_state_radius_sensitivity,FL,WUI-S,600,7260257.000000000000,437988.000000000000,1647493.000000000000,2085481.000000000000
five_state_radius_sensitivity,FL,WUI-S,700,7260257.000000000000,450530.000000000000,1626085.000000000000,2076615.000000000000
five_state_radius_sensitivity,FL,WUI-S,800,7260257.000000000000,470234.000000000000,1601395.000000000000,2071629.000000000000
five_state_radius_sensitivity,FL,WUI-S,900,7260257.000000000000,481655.000000000000,1584841.000000000000,2066496.000000000000
five_state_radius_sensitivity,FL,WUI-S,1000,7260257.000000000000,491969.000000000000,1568095.000000000000,2060064.000000000000
five_state_radius_sensitivity,PA,WUI-P,100,6760739.000000000000,594543.000000000000,1717786.000000000000,2312329.000000000000
five_state_radius_sensitivity,PA,WUI-P,200,6760739.000000000000,757866.000000000000,1607398.000000000000,2365264.000000000000
five_state_radius_sensitivity,PA,WUI-P,300,6760739.000000000000,806188.000000000000,1524464.000000000000,2330652.000000000000
five_state_radius_sensitivity,PA,WUI-P,400,6760739.000000000000,834912.000000000000,1461246.000000000000,2296158.000000000000
five_state_radius_sensitivity,PA,WUI-P,500,6760739.000000000000,910011.000000000000,1413074.000000000000,2323085.000000000000
five_state_radius_sensitivity,PA,WUI-P,600,6760739.000000000000,944512.000000000000,1372484.000000000000,2316996.000000000000
five_state_radius_sensitivity,PA,WUI-P,700,6760739.000000000000,963341.000000000000,1333893.000000000000,2297234.000000000000
five_state_radius_sensitivity,PA,WUI-P,800,6760739.000000000000,1002357.000000000000,1294308.000000000000,2296665.000000000000
five_state_radius_sensitivity,PA,WUI-P,900,6760739.000000000000,1024227.000000000000,1267320.000000000000,2291547.000000000000
five_state_radius_sensitivity,PA,WUI-P,1000,6760739.000000000000,1041633.000000000000,1240658.000000000000,2282291.000000000000
five_state_radius_sensitivity,PA,WUI-S,100,4940642.000000000000,462694.000000000000,1622780.000000000000,2085474.000000000000
five_state_radius_sensitivity,PA,WUI-S,200,4940642.000000000000,638828.000000000000,1479348.000000000000,2118176.000000000000
five_state_radius_sensitivity,PA,WUI-S,300,4940642.000000000000,718681.000000000000,1399355.000000000000,2118036.000000000000
five_state_radius_sensitivity,PA,WUI-S,400,4940642.000000000000,767287.000000000000,1337185.000000000000,2104472.000000000000
five_state_radius_sensitivity,PA,WUI-S,500,4940642.000000000000,850345.000000000000,1272602.000000000000,2122947.000000000000
five_state_radius_sensitivity,PA,WUI-S,600,4940642.000000000000,895463.000000000000,1228584.000000000000,2124047.000000000000
five_state_radius_sensitivity,PA,WUI-S,700,4940642.000000000000,927528.000000000000,1190505.000000000000,2118033.000000000000
five_state_radius_sensitivity,PA,WUI-S,800,4940642.000000000000,973940.000000000000,1146580.000000000000,2120520.000000000000
five_state_radius_sensitivity,PA,WUI-S,900,4940642.000000000000,1001343.000000000000,1118007.000000000000,2119350.000000000000
five_state_radius_sensitivity,PA,WUI-S,1000,4940642.000000000000,1024077.000000000000,1091557.000000000000,2115634.000000000000
five_state_radius_sensitivity,TX,WUI-P,100,21486400.000000000000,1659460.000000000000,4957518.000000000000,6616978.000000000000
five_state_radius_sensitivity,TX,WUI-P,200,21486400.000000000000,1926246.000000000000,4714902.000000000000,6641148.000000000000
five_state_radius_sensitivity,TX,WUI-P,300,21486400.000000000000,2023464.000000000000,4588548.000000000000,6612012.000000000000
five_state_radius_sensitivity,TX,WUI-P,400,21486400.000000000000,2019572.000000000000,4479512.000000000000,6499084.000000000000
five_state_radius_sensitivity,TX,WUI-P,500,21486400.000000000000,2124873.000000000000,4363702.000000000000,6488575.000000000000
five_state_radius_sensitivity,TX,WUI-P,600,21486400.000000000000,2182886.000000000000,4277952.000000000000,6460838.000000000000
five_state_radius_sensitivity,TX,WUI-P,700,21486400.000000000000,2230964.000000000000,4198760.000000000000,6429724.000000000000
five_state_radius_sensitivity,TX,WUI-P,800,21486400.000000000000,2305759.000000000000,4102455.000000000000,6408214.000000000000
five_state_radius_sensitivity,TX,WUI-P,900,21486400.000000000000,2360746.000000000000,4035756.000000000000,6396502.000000000000
five_state_radius_sensitivity,TX,WUI-P,1000,21486400.000000000000,2401383.000000000000,3974120.000000000000,6375503.000000000000
five_state_radius_sensitivity,TX,WUI-S,100,10667078.000000000000,982415.000000000000,2471524.000000000000,3453939.000000000000
five_state_radius_sensitivity,TX,WUI-S,200,10667078.000000000000,1119368.000000000000,2349793.000000000000,3469161.000000000000
five_state_radius_sensitivity,TX,WUI-S,300,10667078.000000000000,1137234.000000000000,2278544.000000000000,3415778.000000000000
five_state_radius_sensitivity,TX,WUI-S,400,10667078.000000000000,1094105.000000000000,2215172.000000000000,3309277.000000000000
five_state_radius_sensitivity,TX,WUI-S,500,10667078.000000000000,1155858.000000000000,2159438.000000000000,3315296.000000000000
five_state_radius_sensitivity,TX,WUI-S,600,10667078.000000000000,1162414.000000000000,2112853.000000000000,3275267.000000000000
five_state_radius_sensitivity,TX,WUI-S,700,10667078.000000000000,1155419.000000000000,2069303.000000000000,3224722.000000000000
five_state_radius_sensitivity,TX,WUI-S,800,10667078.000000000000,1187318.000000000000,2023822.000000000000,3211140.000000000000
five_state_radius_sensitivity,TX,WUI-S,900,10667078.000000000000,1202066.000000000000,1992248.000000000000,3194314.000000000000
five_state_radius_sensitivity,TX,WUI-S,1000,10667078.000000000000,1211166.000000000000,1961375.000000000000,3172541.000000000000
national49_standardized_500m,AL,WUI-P,500,4638077.000000000000,724754.000000000000,1380037.000000000000,2104791.000000000000
national49_standardized_500m,AL,WUI-S,500,2448543.000000000000,499537.000000000000,867302.000000000000,1366839.000000000000
national49_standardized_500m,AR,WUI-P,500,4232942.000000000000,754677.000000000000,1008995.000000000000,1763672.000000000000
national49_standardized_500m,AR,WUI-S,500,1564959.000000000000,297148.000000000000,392043.000000000000,689191.000000000000
national49_standardized_500m,AZ,WUI-P,500,8294252.000000000000,1057424.000000000000,2881628.000000000000,3939052.000000000000
national49_standardized_500m,AZ,WUI-S,500,2729818.000000000000,357319.000000000000,1029822.000000000000,1387141.000000000000
national49_standardized_500m,CA,WUI-P,500,27842701.000000000000,1706124.000000000000,8057189.000000000000,9763313.000000000000
national49_standardized_500m,CA,WUI-S,500,11522302.000000000000,948266.000000000000,3699239.000000000000,4647505.000000000000
national49_standardized_500m,CO,WUI-P,500,7738371.000000000000,873657.000000000000,2511640.000000000000,3385297.000000000000
national49_standardized_500m,CO,WUI-S,500,2185291.000000000000,356502.000000000000,750902.000000000000,1107404.000000000000
national49_standardized_500m,CT,WUI-P,500,1625159.000000000000,305042.000000000000,423476.000000000000,728518.000000000000
national49_standardized_500m,CT,WUI-S,500,1205996.000000000000,294989.000000000000,343112.000000000000,638101.000000000000
national49_standardized_500m,DC,WUI-P,500,309367.000000000000,431.000000000000,0.000000000000,431.000000000000
national49_standardized_500m,DC,WUI-S,500,66540.000000000000,131.000000000000,0.000000000000,131.000000000000
national49_standardized_500m,DE,WUI-P,500,1683145.000000000000,88606.000000000000,77189.000000000000,165795.000000000000
national49_standardized_500m,DE,WUI-S,500,348996.000000000000,18011.000000000000,16863.000000000000,34874.000000000000
national49_standardized_500m,FL,WUI-P,500,29264877.000000000000,2043561.000000000000,6572662.000000000000,8616223.000000000000
national49_standardized_500m,FL,WUI-S,500,7260257.000000000000,420434.000000000000,1672061.000000000000,2092495.000000000000
national49_standardized_500m,GA,WUI-P,500,7118722.000000000000,940423.000000000000,1305120.000000000000,2245543.000000000000
national49_standardized_500m,GA,WUI-S,500,3968969.000000000000,793579.000000000000,1009836.000000000000,1803415.000000000000
national49_standardized_500m,IA,WUI-P,500,2907778.000000000000,43954.000000000000,33496.000000000000,77450.000000000000
national49_standardized_500m,IA,WUI-S,500,2066228.000000000000,31595.000000000000,35463.000000000000,67058.000000000000
national49_standardized_500m,ID,WUI-P,500,1978943.000000000000,245397.000000000000,597381.000000000000,842778.000000000000
national49_standardized_500m,ID,WUI-S,500,937662.000000000000,141592.000000000000,285283.000000000000,426875.000000000000
national49_standardized_500m,IL,WUI-P,500,5065440.000000000000,79345.000000000000,185639.000000000000,264984.000000000000
national49_standardized_500m,IL,WUI-S,500,5175317.000000000000,88240.000000000000,200723.000000000000,288963.000000000000
national49_standardized_500m,IN,WUI-P,500,9092035.000000000000,406420.000000000000,325329.000000000000,731749.000000000000
national49_standardized_500m,IN,WUI-S,500,3363606.000000000000,179387.000000000000,154459.000000000000,333846.000000000000
national49_standardized_500m,KS,WUI-P,500,2230514.000000000000,104735.000000000000,306654.000000000000,411389.000000000000
national49_standardized_500m,KS,WUI-S,500,1605372.000000000000,128647.000000000000,210688.000000000000,339335.000000000000
national49_standardized_500m,KY,WUI-P,500,3952786.000000000000,451610.000000000000,357117.000000000000,808727.000000000000
national49_standardized_500m,KY,WUI-S,500,2411676.000000000000,428177.000000000000,341025.000000000000,769202.000000000000
national49_standardized_500m,LA,WUI-P,500,3122934.000000000000,534379.000000000000,1007221.000000000000,1541600.000000000000
national49_standardized_500m,LA,WUI-S,500,2170408.000000000000,295397.000000000000,704768.000000000000,1000165.000000000000
national49_standardized_500m,MA,WUI-P,500,4151549.000000000000,417996.000000000000,984010.000000000000,1402006.000000000000
national49_standardized_500m,MA,WUI-S,500,2096528.000000000000,379109.000000000000,657222.000000000000,1036331.000000000000
national49_standardized_500m,MD,WUI-P,500,7840578.000000000000,737784.000000000000,999742.000000000000,1737526.000000000000
national49_standardized_500m,MD,WUI-S,500,1622207.000000000000,175610.000000000000,237650.000000000000,413260.000000000000
national49_standardized_500m,ME,WUI-P,500,1543870.000000000000,717194.000000000000,554377.000000000000,1271571.000000000000
national49_standardized_500m,ME,WUI-S,500,752107.000000000000,389019.000000000000,258348.000000000000,647367.000000000000
national49_standardized_500m,MI,WUI-P,500,6066616.000000000000,331032.000000000000,299989.000000000000,631021.000000000000
national49_standardized_500m,MI,WUI-S,500,4967028.000000000000,698887.000000000000,621029.000000000000,1319916.000000000000
national49_standardized_500m,MN,WUI-P,500,5093673.000000000000,454133.000000000000,419035.000000000000,873168.000000000000
national49_standardized_500m,MN,WUI-S,500,2898887.000000000000,298099.000000000000,288085.000000000000,586184.000000000000
national49_standardized_500m,MO,WUI-P,500,2140895.000000000000,85564.000000000000,93573.000000000000,179137.000000000000
national49_standardized_500m,MO,WUI-S,500,3178524.000000000000,344490.000000000000,316753.000000000000,661243.000000000000
national49_standardized_500m,MS,WUI-P,500,3494685.000000000000,1031078.000000000000,1021340.000000000000,2052418.000000000000
national49_standardized_500m,MS,WUI-S,500,1502670.000000000000,410110.000000000000,468537.000000000000,878647.000000000000
national49_standardized_500m,MT,WUI-P,500,1877883.000000000000,417584.000000000000,747291.000000000000,1164875.000000000000
national49_standardized_500m,MT,WUI-S,500,772491.000000000000,209271.000000000000,320720.000000000000,529991.000000000000
national49_standardized_500m,NC,WUI-P,500,17807246.000000000000,3647466.000000000000,3575042.000000000000,7222508.000000000000
national49_standardized_500m,NC,WUI-S,500,4666625.000000000000,1002090.000000000000,986674.000000000000,1988764.000000000000
national49_standardized_500m,ND,WUI-P,500,1369483.000000000000,106629.000000000000,130947.000000000000,237576.000000000000
national49_standardized_500m,ND,WUI-S,500,561098.000000000000,67618.000000000000,59273.000000000000,126891.000000000000
