state,method,buffer_m,variable,formal_fdr_cluster_type,county_count
IN,WUI-P,500,p_s,LL,11
IN,WUI-P,500,p_s,NOT_SIGNIFICANT,75
IN,WUI-S,500,p_a,HH,7
IN,WUI-S,500,p_a,LL,10
IN,WUI-S,500,p_a,NOT_SIGNIFICANT,75
IN,WUI-S,500,p_s,HH,5
IN,WUI-S,500,p_s,LH,1
IN,WUI-S,500,p_s,LL,11
IN,WUI-S,500,p_s,NOT_SIGNIFICANT,75
IN,WUI-Z,500,p_a,HH,4
IN,WUI-Z,500,p_a,LL,11
IN,WUI-Z,500,p_a,NOT_SIGNIFICANT,77
KS,WUI-P,500,p_a,HH,3
KS,WUI-P,500,p_a,LH,3
KS,WUI-P,500,p_a,LL,1
KS,WUI-P,500,p_a,NOT_SIGNIFICANT,98
KS,WUI-P,500,p_s,NOT_SIGNIFICANT,100
KS,WUI-S,500,p_a,HH,10
KS,WUI-S,500,p_a,LH,1
KS,WUI-S,500,p_a,LL,12
KS,WUI-S,500,p_a,NOT_SIGNIFICANT,82
KS,WUI-S,500,p_s,LL,12
KS,WUI-S,500,p_s,NOT_SIGNIFICANT,93
KS,WUI-Z,500,p_a,NOT_SIGNIFICANT,105
KY,WUI-P,500,p_a,HH,9
KY,WUI-P,500,p_a,LL,4
KY,WUI-P,500,p_a,NOT_SIGNIFICANT,107
KY,WUI-P,500,p_s,HH,21
KY,WUI-P,500,p_s,LL,4
KY,WUI-P,500,p_s,NOT_SIGNIFICANT,95
KY,WUI-S,500,p_a,HH,11
KY,WUI-S,500,p_a,LL,7
KY,WUI-S,500,p_a,NOT_SIGNIFICANT,102
KY,WUI-S,500,p_s,HH,22
KY,WUI-S,500,p_s,LL,6
KY,WUI-S,500,p_s,NOT_SIGNIFICANT,92
KY,WUI-Z,500,p_a,NOT_SIGNIFICANT,120
LA,WUI-P,500,p_a,NOT_SIGNIFICANT,64
LA,WUI-P,500,p_s,NOT_SIGNIFICANT,57
LA,WUI-S,500,p_a,HH,2
LA,WUI-S,500,p_a,LL,2
LA,WUI-S,500,p_a,NOT_SIGNIFICANT,60
LA,WUI-S,500,p_s,HH,2
LA,WUI-S,500,p_s,HL,1
LA,WUI-S,500,p_s,LH,1
LA,WUI-S,500,p_s,LL,4
LA,WUI-S,500,p_s,NOT_SIGNIFICANT,56
LA,WUI-Z,500,p_a,HH,3
LA,WUI-Z,500,p_a,LL,4
LA,WUI-Z,500,p_a,NOT_SIGNIFICANT,57
MA,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,14
MA,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,14
MA,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,14
MA,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,14
MA,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,14
MD,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,24
MD,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,24
MD,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,24
MD,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,24
MD,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,24
ME,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,16
ME,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,16
ME,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,16
ME,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,16
ME,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,16
MI,WUI-P,500,p_a,NOT_SIGNIFICANT,83
MI,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,1
MI,WUI-P,500,p_s,NOT_SIGNIFICANT,42
MI,WUI-S,500,p_a,HH,9
MI,WUI-S,500,p_a,NOT_SIGNIFICANT,74
MI,WUI-S,500,p_s,HH,21
MI,WUI-S,500,p_s,LL,21
MI,WUI-S,500,p_s,NOT_SIGNIFICANT,41
MI,WUI-Z,500,p_a,HH,4
MI,WUI-Z,500,p_a,LL,5
MI,WUI-Z,500,p_a,NOT_SIGNIFICANT,74
MN,WUI-P,500,p_a,HH,7
MN,WUI-P,500,p_a,LL,7
MN,WUI-P,500,p_a,NOT_SIGNIFICANT,73
MN,WUI-P,500,p_s,HH,9
MN,WUI-P,500,p_s,LL,4
MN,WUI-P,500,p_s,NOT_SIGNIFICANT,74
MN,WUI-S,500,p_a,HH,7
MN,WUI-S,500,p_a,LL,10
MN,WUI-S,500,p_a,NOT_SIGNIFICANT,70
MN,WUI-S,500,p_s,HH,10
MN,WUI-S,500,p_s,LL,6
MN,WUI-S,500,p_s,NOT_SIGNIFICANT,71
MN,WUI-Z,500,p_a,HH,4
MN,WUI-Z,500,p_a,LL,4
MN,WUI-Z,500,p_a,NOT_SIGNIFICANT,79
MO,WUI-P,500,p_a,NOT_SIGNIFICANT,115
MO,WUI-P,500,p_s,NOT_SIGNIFICANT,53
MO,WUI-S,500,p_a,HH,9
MO,WUI-S,500,p_a,LL,14
MO,WUI-S,500,p_a,NOT_SIGNIFICANT,92
MO,WUI-S,500,p_s,HH,10
MO,WUI-S,500,p_s,LL,10
MO,WUI-S,500,p_s,NOT_SIGNIFICANT,95
MO,WUI-Z,500,p_a,HH,4
MO,WUI-Z,500,p_a,LL,13
MO,WUI-Z,500,p_a,NOT_SIGNIFICANT,98
MS,WUI-P,500,p_a,HH,10
MS,WUI-P,500,p_a,LL,10
MS,WUI-P,500,p_a,NOT_SIGNIFICANT,62
MS,WUI-P,500,p_s,LL,7
MS,WUI-P,500,p_s,NOT_SIGNIFICANT,75
MS,WUI-S,500,p_a,HH,10
MS,WUI-S,500,p_a,LL,12
MS,WUI-S,500,p_a,NOT_SIGNIFICANT,60
MS,WUI-S,500,p_s,HH,3
MS,WUI-S,500,p_s,LL,7
MS,WUI-S,500,p_s,NOT_SIGNIFICANT,72
MS,WUI-Z,500,p_a,HH,3
MS,WUI-Z,500,p_a,LH,1
MS,WUI-Z,500,p_a,LL,10
MS,WUI-Z,500,p_a,NOT_SIGNIFICANT,68
MT,WUI-P,500,p_a,LH,1
MT,WUI-P,500,p_a,LL,3
MT,WUI-P,500,p_a,NOT_SIGNIFICANT,52
MT,WUI-P,500,p_s,NOT_SIGNIFICANT,56
MT,WUI-S,500,p_a,NOT_SIGNIFICANT,56
MT,WUI-S,500,p_s,NOT_SIGNIFICANT,56
MT,WUI-Z,500,p_a,NOT_SIGNIFICANT,56
NC,WUI-P,500,p_a,HH,4
NC,WUI-P,500,p_a,LL,7
NC,WUI-P,500,p_a,NOT_SIGNIFICANT,89
NC,WUI-P,500,p_s,HH,6
NC,WUI-P,500,p_s,LL,9
NC,WUI-P,500,p_s,NOT_SIGNIFICANT,85
NC,WUI-S,500,p_a,HH,6
NC,WUI-S,500,p_a,LL,9
NC,WUI-S,500,p_a,NOT_SIGNIFICANT,85
NC,WUI-S,500,p_s,HH,6
NC,WUI-S,500,p_s,LL,9
NC,WUI-S,500,p_s,NOT_SIGNIFICANT,85
NC,WUI-Z,500,p_a,HH,5
NC,WUI-Z,500,p_a,LH,1
NC,WUI-Z,500,p_a,LL,12
NC,WUI-Z,500,p_a,NOT_SIGNIFICANT,82
ND,WUI-P,500,p_a,NOT_SIGNIFICANT,53
ND,WUI-P,500,p_s,HH,1
ND,WUI-P,500,p_s,LL,4
ND,WUI-P,500,p_s,NOT_SIGNIFICANT,48
