method,wui_population,total_population,wui_population_share_pct,wui_area_km2
WUI-P,89663483.352695450187,329260619.000000000000,27.231766624570,1028551.265999999945
WUI-S,94793528.780424743891,329260619.000000000000,28.789816731902,1112334.443100000033
WUI-Z,97266925.000000000000,329260619.000000000000,29.541013831356,761129.712000000058
